Purchase ID,SN,Age,Gender,Item ID,Item Name,Price,Ages
0,Lisim78,20,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,20-24
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56,40+
2,Ithergue48,24,Male,92,Final Critic,4.88,20-24
3,Chamassasya86,24,Male,100,Blindscythe,3.27,20-24
4,Iskosia90,23,Male,131,Fury,1.44,20-24
5,Yalae81,22,Male,81,Dreamkiss,3.61,20-24
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18,35-39
7,Iskjaskst81,20,Male,162,Abyssal Shard,2.67,20-24
8,Undjask33,22,Male,21,Souleater,1.1,20-24
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58,35-39
10,Inguron55,23,Male,95,Singed Onyx Warscythe,4.74,20-24
11,Haisrisuir60,23,Male,162,Abyssal Shard,2.67,20-24
12,Saelaephos52,21,Male,116,Renewed Skeletal Katana,4.18,20-24
13,Assjaskan73,22,Male,4,Bloodlord's Fetish,1.7,20-24
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86,35-39
15,Lisassa64,21,Female,98,"Deadline, Voice Of Subtlety",2.89,20-24
16,Lisirra25,20,Male,40,Second Chance,2.52,20-24
17,Zontibe81,21,Male,161,Devine,1.76,20-24
18,Reunasu60,22,Female,82,Nirvana,4.9,20-24
19,Chamalo71,30,Male,89,"Blazefury, Protector of Delusions",4.64,30-34
20,Iathenudil29,20,Male,57,"Despair, Favor of Due Diligence",4.6,20-24
21,Phiarithdeu40,20,Male,168,"Sun Strike, Jaws of Twisted Visions",1.48,20-24
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81,35-39
23,Eyrian71,40,Male,151,Severance,3.4,40+
24,Siala43,30,Male,141,Persuasion,3.19,30-34
25,Lisirra87,29,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,25-29
26,Lirtossa84,11,Male,71,Demise,1.61,10-14
27,Eusri44,7,Male,96,Blood-Forged Skeletal Spine,3.09,<10
28,Aela59,21,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32,20-24
29,Tyida79,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,20-24
30,Idai61,19,Male,140,Striker,2.94,15-19
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48,35-39
32,Aeralria27,10,Male,133,Faith's Scimitar,4.09,10-14
33,Haillyrgue51,7,Male,44,Bonecarvin Battle Axe,2.38,<10
34,Sondim73,19,Male,160,Azurewrath,4.4,15-19
35,Jeyciman68,22,Male,53,Vengeance Cleaver,2.05,20-24
36,Idaisuir85,30,Male,76,Haunted Bronzed Bludgeon,3.15,30-34
37,Seuthep89,8,Male,73,Ritual Mace,2.05,<10
38,Reulae52,10,Female,116,Renewed Skeletal Katana,4.18,10-14
39,Sondilsaya62,21,Male,172,Blade of the Grave,3.14,20-24
40,Aerithriaphos45,20,Male,143,Frenzied Scimitar,1.56,20-24
41,Assosia88,20,Female,7,"Thorn, Satchel of Dark Souls",1.33,20-24
42,Aidaillodeu39,18,Male,72,Winter's Bite,3.77,15-19
43,Aelly27,24,Male,116,Renewed Skeletal Katana,4.18,20-24
44,Tyeosri53,24,Male,9,"Thorn, Conqueror of the Corrupted",2.73,20-24
45,Haerith37,23,Male,181,Reaper's Toll,1.66,20-24
46,Yasrisu92,27,Male,102,Avenger,3.44,25-29
47,Chanuchi25,20,Male,170,Shadowsteel,3.97,20-24
48,Asur96,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74,20-24
49,Iaralrgue74,33,Male,110,Suspension,1.44,30-34
50,Saelaephos52,21,Male,22,Amnesia,2.18,20-24
51,Chanosia34,22,Male,15,Soul Infused Crystal,2.96,20-24
52,Aelin32,20,Male,60,Wolf,3.54,20-24
53,Ilosianya35,32,Male,176,Relentless Iron Skewer,2.84,30-34
54,Zhisrisu83,10,Male,25,Hero Cane,4.35,10-14
55,Phaelap26,25,Female,84,Arcane Gem,3.79,25-29
56,Raesty92,12,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,10-14
57,Palyon91,21,Male,80,Dreamsong,3.39,20-24
58,Tyisur83,23,Male,152,Darkheart,1.74,20-24
59,Yaliru88,19,Male,105,Hailstorm Shadowsteel Scythe,3.03,15-19
60,Yadanu52,34,Male,44,Bonecarvin Battle Axe,2.38,30-34
61,Jiskimya77,17,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,15-19
62,Yadaphos40,30,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,30-34
63,Alo38,20,Male,125,Whistling Mithril Warblade,1.0,20-24
64,Phaena87,20,Male,56,Foul Titanium Battle Axe,2.92,20-24
65,Chamirraya83,25,Male,34,Retribution Axe,2.22,25-29
66,Chanastsda67,21,Female,6,Rusty Skull,3.7,20-24
67,Lisim78,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74,20-24
68,Indonmol95,15,Male,27,"Riddle, Tribute of Ended Dreams",3.3,15-19
69,Jiskossa61,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,20-24
70,Pheodai94,29,Male,143,Frenzied Scimitar,1.56,25-29
71,Hari50,20,Female,29,"Chaos, Ender of the End",1.98,20-24
72,Marilsa69,25,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,25-29
73,Assistasda42,21,Male,68,"Storm-Weaver, Slayer of Inception",4.32,20-24
74,Lisosia93,25,Male,89,"Blazefury, Protector of Delusions",4.64,25-29
75,Philodil43,33,Male,124,Venom Claymore,1.29,30-34
76,Mindadaran26,13,Female,88,"Emberling, Defender of Delusions",3.75,10-14
77,Lirtosia63,34,Male,20,Netherbane,3.27,30-34
78,Haillyrgue51,7,Male,50,Dawn,4.6,<10
79,Assjaskan56,26,Male,15,Soul Infused Crystal,2.96,25-29
80,Irithlis29,23,Male,165,Bone Crushing Silver Skewer,4.86,20-24
81,Heudai45,8,Female,174,Primitive Blade,3.47,<10
82,Haerithp41,16,Other / Non-Disclosed,160,Azurewrath,4.4,15-19
83,Aina42,25,Male,12,Dawne,1.02,25-29
84,Jiskjask60,21,Female,34,Retribution Axe,2.22,20-24
85,Umolrian85,32,Female,33,Curved Axe,1.16,30-34
86,Qarirwen82,33,Male,129,"Fate, Vengeance of Eternal Justice",1.54,30-34
87,Aelin32,20,Male,151,Severance,3.4,20-24
88,Laedallo55,30,Male,82,Nirvana,4.9,30-34
89,Eoralrap26,22,Male,17,"Lazarus, Terror of the Earth",1.7,20-24
90,Undosian34,21,Male,60,Wolf,3.54,20-24
91,Chadolyla44,20,Male,59,"Lightning, Etcher of the King",4.23,20-24
92,Chadistaya75,21,Female,39,"Betrayal, Whisper of Grieving Widows",3.94,20-24
93,Yathedeu43,22,Male,88,"Emberling, Defender of Delusions",3.75,20-24
94,Aina43,19,Male,96,Blood-Forged Skeletal Spine,3.09,15-19
95,Ilassast39,18,Male,164,Exiled Doomblade,1.63,15-19
96,Lisassala98,16,Male,56,Foul Titanium Battle Axe,2.92,15-19
97,Aiduecal76,20,Male,134,Undead Crusader,4.5,20-24
98,Chadossa89,23,Male,141,Persuasion,3.19,20-24
99,Haisrisuir60,23,Male,101,Final Critic,4.19,20-24
100,Pheodaisun84,30,Male,12,Dawne,1.02,30-34
101,Heollyriap59,21,Male,174,Primitive Blade,3.47,20-24
102,Maropast28,24,Male,109,"Downfall, Scalpel Of The Emperor",4.76,20-24
103,Frichim77,24,Male,7,"Thorn, Satchel of Dark Souls",1.33,20-24
104,Thryallym62,24,Male,53,Vengeance Cleaver,2.05,20-24
105,Eulanurin88,27,Male,10,Sleepwalker,1.79,25-29
106,Lassjaskan73,22,Male,54,Eternal Cleaver,2.5,20-24
107,Tyaerith73,36,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71,35-39
108,Sondadarya58,19,Male,85,Malificent Bag,1.75,15-19
109,Hirirap39,22,Male,33,Curved Axe,1.16,20-24
110,Ririp86,25,Male,139,"Mercy, Katana of Dismay",4.94,25-29
111,Sundim98,21,Other / Non-Disclosed,41,Orbit,4.75,20-24
112,Iskichinya81,21,Female,7,"Thorn, Satchel of Dark Souls",1.33,20-24
113,Phyali88,15,Female,140,Striker,2.94,15-19
114,Undirrala66,22,Male,150,Deathraze,2.85,20-24
115,Nitherian58,28,Male,13,Serenity,1.41,25-29
116,Lassilsala30,21,Male,139,"Mercy, Katana of Dismay",4.94,20-24
117,Frichaststa61,21,Female,117,"Heartstriker, Legacy of the Light",1.79,20-24
118,Pheodaisun84,30,Male,78,"Glimmer, Ender of the Moon",4.4,30-34
119,Frichosia58,15,Female,87,"Deluge, Edge of the West",4.43,15-19
120,Lisosia93,25,Male,24,Warped Fetish,3.81,25-29
121,Ilosia37,23,Male,1,Crucifer,3.26,20-24
122,Lisista27,16,Male,174,Primitive Blade,3.47,15-19
123,Seudaillorap38,27,Male,81,Dreamkiss,3.61,25-29
124,Aesty53,21,Male,150,Deathraze,2.85,20-24
125,Yathecal82,20,Female,62,Piece Maker,1.87,20-24
126,Frichim77,24,Male,75,Brutality Ivory Warmace,2.42,20-24
127,Lisossanya98,37,Male,102,Avenger,3.44,35-39
128,Iral74,21,Male,58,"Freak's Bite, Favor of Holy Might",4.14,20-24
129,Lisast87,19,Male,74,Yearning Crusher,4.18,15-19
130,Maridisya31,25,Male,120,Agatha,3.08,25-29
131,Jiskassa76,22,Male,62,Piece Maker,1.87,20-24
132,Inguron55,23,Male,145,Fiery Glass Crusader,4.58,20-24
133,Phaena87,20,Male,0,Splinter,1.28,20-24
134,Phyali88,15,Female,2,Verdict,2.48,15-19
135,Ethriel85,30,Male,146,Warped Iron Scimitar,3.1,30-34
136,Iskirra45,22,Male,105,Hailstorm Shadowsteel Scythe,3.03,20-24
137,Iri67,20,Male,179,"Wolf, Promise of the Moonwalker",4.48,20-24
138,Rarallo90,33,Male,136,Ghastly Adamantite Protector,3.58,30-34
139,Lisasi93,13,Male,158,"Darkheart, Butcher of the Champion",2.45,10-14
140,Hari50,20,Female,8,"Purgatory, Gem of Regret",3.93,20-24
141,Zhisrisu83,10,Male,60,Wolf,3.54,10-14
142,Adastirin33,35,Female,175,Woeful Adamantite Claymore,4.48,35-39
143,Eyista89,34,Male,124,Venom Claymore,1.29,30-34
144,Ili43,18,Male,22,Amnesia,2.18,15-19
145,Chamirra53,23,Male,46,Hopeless Ebon Dualblade,1.33,20-24
146,Aidaillodeu39,18,Male,133,Faith's Scimitar,4.09,15-19
147,Hailaphos89,35,Male,24,Warped Fetish,3.81,35-39
148,Iskadarya95,20,Male,148,"Warmonger, Gift of Suffering's End",4.03,20-24
149,Qilatista90,17,Male,161,Devine,1.76,15-19
150,Inasti31,17,Male,0,Splinter,1.28,15-19
151,Marilsanya48,25,Male,105,Hailstorm Shadowsteel Scythe,3.03,25-29
152,Marjask87,20,Male,110,Suspension,1.44,20-24
153,Chanjaskan89,21,Male,164,Exiled Doomblade,1.63,20-24
154,Hyaduesu61,20,Male,59,"Lightning, Etcher of the King",4.23,20-24
155,Aillyrin83,10,Female,98,"Deadline, Voice Of Subtlety",2.89,10-14
156,Eyrian71,40,Male,117,"Heartstriker, Legacy of the Light",1.79,40+
157,Marast30,18,Female,108,"Extraction, Quickblade Of Trembling Hands",3.53,15-19
158,Sundadar27,31,Male,111,Misery's End,4.89,30-34
159,Tyaelorap29,25,Male,39,"Betrayal, Whisper of Grieving Widows",3.94,25-29
160,Lirtimst73,24,Male,44,Bonecarvin Battle Axe,2.38,20-24
161,Iri67,20,Male,3,Phantomlight,2.49,20-24
162,Styaduen40,17,Male,181,Reaper's Toll,1.66,15-19
163,Sidap51,11,Male,65,Conqueror Adamantite Mace,4.24,10-14
164,Chanastst38,22,Male,96,Blood-Forged Skeletal Spine,3.09,20-24
165,Lirtassa52,15,Male,183,Dragon's Greatsword,1.09,15-19
166,Sondim68,22,Female,30,Stormcaller,2.21,20-24
167,Aeral97,23,Male,157,"Spada, Etcher of Hatred",4.8,20-24
168,Iskjaskst81,20,Male,85,Malificent Bag,1.75,20-24
169,Heosurnuru52,16,Female,123,Twilight's Carver,2.28,15-19
170,Lisopela58,22,Male,75,Brutality Ivory Warmace,2.42,20-24
171,Caesrinusuir82,30,Male,102,Avenger,3.44,30-34
172,Tyirinu79,21,Male,65,Conqueror Adamantite Mace,4.24,20-24
173,Fironon91,30,Male,5,Putrid Fan,4.08,30-34
174,Lassjask63,30,Male,144,Blood Infused Guardian,1.94,30-34
175,Indcil77,17,Male,103,Singed Scalpel,4.35,15-19
176,Chamimla73,17,Male,157,"Spada, Etcher of Hatred",4.8,15-19
177,Syathe73,30,Female,135,Warped Diamond Crusader,1.4,30-34
178,Baelollodeu94,20,Female,57,"Despair, Favor of Due Diligence",4.6,20-24
179,Mindista32,24,Male,59,"Lightning, Etcher of the King",4.23,20-24
180,Saena74,24,Male,95,Singed Onyx Warscythe,4.74,20-24
181,Marirrasta50,16,Male,51,Endbringer,4.66,15-19
182,Lamil79,38,Male,154,Feral Katana,4.4,35-39
183,Aenarap34,21,Male,15,Soul Infused Crystal,2.96,20-24
184,Aisur51,28,Male,32,Orenmir,1.14,25-29
185,Thrientossa55,20,Male,150,Deathraze,2.85,20-24
186,Chadista79,30,Male,77,"Piety, Guardian of Riddles",4.0,30-34
187,Tyeurith29,8,Male,11,Brimstone,3.65,<10
188,Malunil62,18,Male,88,"Emberling, Defender of Delusions",3.75,15-19
189,Hiasri33,23,Male,63,Stormfury Mace,4.99,20-24
190,Lisadar44,27,Male,69,"Frenzy, Defender of the Harvest",1.98,25-29
191,Frichjask31,23,Male,87,"Deluge, Edge of the West",4.43,20-24
192,Lisjaskya84,25,Male,98,"Deadline, Voice Of Subtlety",2.89,25-29
193,Ristydru66,27,Male,62,Piece Maker,1.87,25-29
194,Frichast28,20,Male,73,Ritual Mace,2.05,20-24
195,Minduri31,39,Male,113,Solitude's Reaver,4.07,35-39
196,Maradaran90,35,Female,9,"Thorn, Conqueror of the Corrupted",2.73,35-39
197,Mindetosya30,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,20-24
198,Chadolyla44,20,Male,153,Mercenary Sabre,3.74,20-24
199,Ialallo29,15,Female,138,"Peacekeeper, Wit of Dark Magic",4.74,15-19
200,Pheusrical25,23,Male,114,Yearning Mageblade,3.82,20-24
201,Chanosia60,31,Male,2,Verdict,2.48,30-34
202,Phistym51,37,Male,82,Nirvana,4.9,35-39
203,Aelollo59,33,Male,3,Phantomlight,2.49,30-34
204,Chamimla85,16,Male,0,Splinter,1.28,15-19
205,Jiskimya77,17,Male,149,"Tranquility, Razor of Black Magic",1.75,15-19
206,Haisurra41,20,Female,78,"Glimmer, Ender of the Moon",4.4,20-24
207,Sondastsda82,24,Male,145,Fiery Glass Crusader,4.58,20-24
208,Qilanrion65,37,Male,105,Hailstorm Shadowsteel Scythe,3.03,35-39
209,Eulasuir89,22,Male,162,Abyssal Shard,2.67,20-24
210,Umolrian85,32,Female,136,Ghastly Adamantite Protector,3.58,30-34
211,Eosrirgue62,17,Male,120,Agatha,3.08,15-19
212,Shaidanu32,23,Male,159,"Oathbreaker, Spellblade of Trials",3.08,20-24
213,Lirtastan49,29,Male,2,Verdict,2.48,25-29
214,Iaralsuir44,23,Male,137,"Aetherius, Boon of the Blessed",3.39,20-24
215,Ialallo29,15,Female,40,Second Chance,2.52,15-19
216,Tyeudariasuir90,21,Male,136,Ghastly Adamantite Protector,3.58,20-24
217,Cosadar58,38,Male,25,Hero Cane,4.35,35-39
218,Aelastirin39,23,Male,76,Haunted Bronzed Bludgeon,3.15,20-24
219,Aidai53,19,Male,57,"Despair, Favor of Due Diligence",4.6,15-19
220,Jiskjask85,40,Male,46,Hopeless Ebon Dualblade,1.33,40+
221,Ealrion88,30,Male,175,Woeful Adamantite Claymore,4.48,30-34
222,Chamjask73,22,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,20-24
223,Undirrala66,22,Male,142,Righteous Might,2.62,20-24
224,Lisosia93,25,Male,157,"Spada, Etcher of Hatred",4.8,25-29
225,Tyaenasti87,24,Female,154,Feral Katana,4.4,20-24
226,Alim85,25,Male,54,Eternal Cleaver,2.5,25-29
227,Haeladil46,18,Male,24,Warped Fetish,3.81,15-19
228,Jiskirran77,20,Other / Non-Disclosed,80,Dreamsong,3.39,20-24
229,Undosia27,17,Male,72,Winter's Bite,3.77,15-19
230,Peorith44,24,Male,102,Avenger,3.44,20-24
231,Yarithsurgue62,26,Male,139,"Mercy, Katana of Dismay",4.94,25-29
232,Sundadar27,31,Male,114,Yearning Mageblade,3.82,30-34
233,Taeduenu92,19,Female,66,Victor Iron Spikes,4.4,15-19
234,Chamimla85,16,Male,97,"Swan Song, Gouger Of Terror",2.5,15-19
235,Rairin89,24,Male,163,Thunderfury Scimitar,3.45,20-24
236,Aerithriaphos46,16,Male,107,"Splitter, Foe Of Subtlety",2.18,15-19
237,Idairin51,20,Other / Non-Disclosed,16,Restored Bauble,3.55,20-24
238,Lisista54,21,Male,42,The Decapitator,1.75,20-24
239,Eodailis27,30,Male,19,"Pursuit, Cudgel of Necromancy",1.02,30-34
240,Lirtastsda29,16,Male,82,Nirvana,4.9,15-19
241,Undilsan50,22,Male,10,Sleepwalker,1.79,20-24
242,Eodaisu60,16,Other / Non-Disclosed,39,"Betrayal, Whisper of Grieving Widows",3.94,15-19
243,Quaranmol58,24,Male,83,Lifebender,3.33,20-24
244,Lirtossa60,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,20-24
245,Lisim78,20,Male,85,Malificent Bag,1.75,20-24
246,Lirtilsa71,24,Male,139,"Mercy, Katana of Dismay",4.94,20-24
247,Iskadarya95,20,Male,82,Nirvana,4.9,20-24
248,Isursuir31,44,Male,137,"Aetherius, Boon of the Blessed",3.39,40+
249,Sundirrala66,20,Male,16,Restored Bauble,3.55,20-24
250,Saerallora71,23,Male,87,"Deluge, Edge of the West",4.43,20-24
251,Iasur80,22,Male,23,Crucifer,1.99,20-24
252,Tyaelo67,39,Male,92,Final Critic,4.88,35-39
253,Aesty53,21,Male,28,"Flux, Destroyer of Due Diligence",1.06,20-24
254,Quanunwen42,23,Female,94,Mourning Blade,3.49,20-24
255,Sondastsda82,24,Male,71,Demise,1.61,20-24
256,Chamirra53,23,Male,182,Toothpick,4.03,20-24
257,Yasur35,26,Male,175,Woeful Adamantite Claymore,4.48,25-29
258,Assehoan67,26,Male,149,"Tranquility, Razor of Black Magic",1.75,25-29
