city,lat,temp,humidity,cloudiness,windspeed
Esperance,-33.86,51.8,100,90,6.93
Yellowknife,62.45,68.0,60,20,4.7
Georgetown,6.8,84.2,79,40,6.93
Ouesso,1.61,80.19,80,41,3.83
Atuona,-9.8,79.83,76,8,16.17
Hobart,-42.88,44.6,65,75,10.29
Hithadhoo,-0.6,83.43,74,99,6.96
Neiafu,-18.65,60.8,100,20,7.27
Varhaug,58.61,73.0,77,20,13.87
Kapaa,22.08,80.6,74,40,11.41
Rikitea,-23.12,69.03,76,100,16.96
Tuatapere,-46.13,39.99,98,0,8.99
Kruisfontein,-34.0,59.85,57,16,33.4
Ushuaia,-54.81,35.6,74,75,16.11
Bambous Virieux,-20.34,71.6,78,75,16.11
Upernavik,72.79,47.07,61,0,7.85
Kupang,-10.16,74.97,71,44,16.67
Thompson,55.74,68.0,68,40,4.7
Dalbandin,28.9,92.97,27,100,17.6
Clearlake,38.96,68.0,72,1,2.86
Meadow Lake,54.13,69.8,68,20,5.82
Mount Gambier,-37.83,44.6,81,40,8.05
Codrington,-28.95,55.99,93,0,10.29
Tortoli,39.93,89.6,55,20,10.29
Kununurra,-15.77,62.6,55,2,7.56
Traverse City,44.76,72.0,64,40,10.29
Vaini,15.34,77.13,92,100,3.87
Kenora,49.76,71.6,60,27,10.29
Bredasdorp,-34.53,59.0,62,67,12.75
Devils Lake,48.11,71.6,64,20,5.82
Marawi,8.0,75.99,91,100,5.01
Asuncion Mita,14.33,69.93,79,100,2.66
Nuuk,64.17,42.8,93,90,9.17
Parvatipuram,18.78,74.97,88,53,1.36
Husavik,50.56,73.99,66,0,5.01
Tsiroanomandidy,-18.77,64.71,24,0,2.28
Hermanus,-34.42,54.0,79,67,5.01
Albany,42.65,69.01,93,90,5.14
La Ronge,55.1,69.8,68,20,5.82
Saint-Philippe,45.36,75.99,53,1,3.36
Saldanha,41.42,94.59,24,13,6.82
Norman Wells,65.28,60.8,82,20,6.93
Katsuura,33.93,78.8,83,75,2.24
Qaanaaq,77.48,41.49,64,100,9.1
New Norfolk,-42.78,44.6,65,75,10.29
Busselton,-33.64,59.0,61,100,6.42
Lavrentiya,65.58,43.29,97,100,4.76
Ambon,47.55,89.6,49,0,16.11
Punta Arenas,-53.16,35.6,80,0,9.17
Panguma,8.18,74.79,95,100,6.98
Isangel,-19.55,70.83,68,3,15.73
Chokurdakh,70.62,47.97,64,100,14.18
Kavaratti,10.57,82.53,76,100,20.07
Airai,-8.93,65.61,66,0,6.13
Soyo,-6.13,78.8,65,0,11.41
Meulaboh,4.14,85.23,63,80,1.19
Beidao,34.57,68.67,54,69,3.09
Mataura,-46.19,39.99,98,3,4.61
Banepa,27.63,75.2,88,75,4.7
Bluff,-23.58,58.95,64,0,6.22
Arraial do Cabo,-22.97,77.0,69,0,13.87
Hamilton,43.26,75.99,72,20,6.93
Carutapera,-1.2,85.23,65,2,9.33
Anadyr,64.73,44.6,81,0,2.24
Atar,20.52,109.53,12,0,8.39
Avarua,-21.21,73.4,69,2,13.87
Kodiak,39.95,72.0,68,1,5.82
Tazmalt,36.39,86.0,62,0,6.93
Castro,-42.48,37.4,100,40,3.15
San Patricio,-26.98,68.67,94,100,2.8
Geraldton,49.72,64.4,59,20,5.82
Cidreira,-30.17,70.11,81,100,2.59
Butaritari,3.07,84.33,72,100,8.1
Puerto Ayora,-0.74,71.6,78,75,14.99
Seymchan,62.93,26.91,85,4,1.97
Gazanjyk,39.24,103.95,22,0,6.15
Cape Town,-33.93,57.99,67,75,24.16
Quarai,-30.39,57.15,94,100,16.24
Provideniya,64.42,44.37,96,100,3.49
Port Blair,11.67,84.33,80,86,21.52
Kahului,20.89,78.8,65,20,3.36
Maiduguri,11.84,92.61,39,80,3.91
Gualan,15.12,75.99,1,100,1.03
Hami,42.84,78.21,32,84,5.03
Hilo,19.71,71.6,83,75,3.36
Port Alfred,-33.59,68.0,53,0,14.16
Alekseyevka,53.25,77.0,44,40,8.95
Vladyslavivka,50.53,75.2,36,0,15.66
Svetlaya,46.54,63.99,98,100,2.57
Khatanga,71.98,52.65,53,100,12.03
Barra do Corda,-5.5,89.19,38,22,8.37
Dikson,73.51,35.37,90,11,4.81
Jamestown,-33.21,51.57,94,97,10.09
Laela,-8.57,73.89,21,0,5.01
Kavieng,-2.57,83.61,75,99,20.62
Christchurch,-43.53,48.99,100,100,4.7
Pisco,-13.71,71.6,30,90,8.05
Yabelo,4.89,74.25,46,95,12.24
Preobrazheniye,42.9,63.27,98,26,3.71
Hualmay,-11.1,61.65,85,100,16.08
Hasaki,35.73,75.2,94,40,4.7
Coquimbo,-29.95,51.8,62,20,6.93
Lagoa,37.14,84.99,74,20,6.93
Okha,53.59,50.49,94,100,22.88
Sao Joao da Barra,-21.64,78.8,61,75,13.87
Bluffton,40.74,73.0,52,1,6.93
Mount Isa,-20.73,64.4,18,8,12.75
Caceres,5.53,70.65,92,99,3.27
Muravlenko,63.79,67.59,51,29,14.72
Tuktoyaktuk,69.44,50.0,87,90,12.75
Lata,30.78,44.73,94,73,1.23
Jacksonville,30.33,88.0,74,40,4.7
Tasiilaq,65.61,46.4,70,40,23.04
Coihaique,-45.58,42.8,80,40,9.17
Yacuiba,-22.01,60.8,87,90,6.93
Faanui,-16.48,79.47,84,94,14.27
Boyuibe,-20.43,50.0,93,90,4.12
Tura,64.27,62.19,57,85,5.73
Coldingham,55.89,80.01,60,20,12.75
Lompoc,34.64,61.0,100,90,5.95
Tiarei,-17.53,77.0,83,66,13.87
Luderitz,-26.65,64.4,72,91,14.99
Saskatoon,52.13,71.01,68,75,6.93
Leningradskiy,69.38,38.97,83,100,5.64
Cutler Ridge,34.78,80.6,100,75,5.82
Sereflikochisar,38.94,81.27,29,0,13.87
East London,-33.02,86.0,13,0,20.8
Bethel,60.79,55.4,87,90,7.72
Nome,30.04,80.6,94,90,4.7
Saint George,39.45,91.99,40,40,11.41
Wajima,37.4,74.25,93,52,12.88
Ouadda,8.07,78.03,79,95,4.23
Kathu,-27.7,71.01,16,0,4.0
Marzuq,14.4,77.49,44,88,17.22
Luan,46.36,95.0,34,20,12.75
Davila,18.47,83.97,72,91,2.17
Alofi,-19.06,60.8,93,4,1.12
Awjilah,29.14,96.21,19,0,24.07
Kilifi,-3.63,78.8,73,40,11.41
Gobabis,-22.45,80.6,8,0,8.05
Fortuna,40.6,59.0,100,90,4.7
Flin Flon,54.77,71.6,68,20,5.82
Taoudenni,22.68,114.03,9,0,4.68
Nikolskoye,59.7,77.0,36,20,6.71
Ribeira Grande,38.52,75.2,83,75,12.75
Waipawa,-39.94,46.0,95,87,2.17
Saint-Augustin,45.63,75.99,77,20,4.7
Shimoda,34.7,78.8,88,75,1.12
Barrow,-38.31,51.39,29,0,12.62
Semme,46.2,100.99,23,0,10.29
Lebu,8.96,64.4,63,75,9.17
Nha Trang,12.24,84.2,66,20,5.82
Flinders,-34.58,62.6,39,58,17.22
Jining,35.41,86.0,96,69,5.84
Karpathos,35.51,82.4,65,0,21.92
Mar del Plata,-46.43,42.75,56,0,18.25
Longyearbyen,78.22,48.2,70,75,4.7
Usogorsk,63.43,68.49,60,2,4.9
Kadoma,34.73,82.99,94,90,1.12
Riohacha,11.54,89.6,59,75,16.11
Luanshya,-13.14,75.0,28,0,4.0
Sorland,67.67,68.0,82,40,10.29
Viedma,-40.81,50.85,44,0,15.08
Denpasar,-8.65,67.59,90,19,4.23
Carnarvon,-30.97,48.33,64,67,42.5
Russell,38.9,75.99,64,1,4.45
Ust-Tsilma,65.44,77.67,49,57,4.27
Iquitos,-3.75,42.8,319,75,3.36
Waingapu,-9.65,66.15,89,58,7.52
Vila do Maio,15.13,75.69,74,57,14.61
Bara,10.41,86.49,54,77,1.81
Mayahi,13.95,91.53,37,3,2.57
Ayagoz,47.96,69.75,47,100,9.22
Avera,33.19,88.0,70,40,8.12
Portland,43.66,63.0,88,90,4.7
Port Elizabeth,39.31,73.99,94,90,9.17
Auki,12.18,85.05,55,96,4.07
Torbay,47.66,71.01,82,75,5.82
Vilhena,-12.74,80.6,54,0,13.87
Victoria,5.28,78.8,94,75,8.05
Sola,-3.17,82.53,22,45,4.9
Kushima,31.5,74.43,93,100,3.67
Ilulissat,69.22,55.4,43,40,3.36
Port Lincoln,-34.72,58.05,75,0,16.49
Imbituba,-28.24,73.4,73,0,16.11
Clyde River,70.47,60.8,63,20,10.29
Cap-aux-Meules,47.38,66.2,82,90,6.93
Nanortalik,60.14,39.33,93,100,5.84
Kamenka,48.03,71.01,66,67,1.99
Sterling,39.0,71.01,88,40,6.93
Fort Saint James,54.43,54.27,91,1,2.89
Phalodi,27.13,100.17,38,100,11.32
Kaitangata,-46.28,44.01,87,3,1.01
Jilikul,37.49,95.0,32,0,6.71
Iqaluit,63.75,39.2,100,75,4.7
Donaueschingen,47.95,97.0,31,0,6.93
Tocopilla,-22.09,57.33,83,49,18.43
Maniitsoq,65.42,47.25,80,0,7.27
Zhigalovo,54.81,64.71,54,100,1.1
Nishihara,35.74,80.01,88,75,8.28
Ekhabi,53.51,50.49,94,100,22.88
Khorixas,-20.37,81.81,15,0,11.27
Ozernovskiy,51.5,48.15,88,100,6.08
Zhucheng,30.85,82.4,83,75,13.42
Vestmannaeyjar,63.44,55.4,93,90,9.17
Vila Franca do Campo,37.72,73.4,94,75,12.75
Myanaung,18.28,78.21,83,100,4.03
Ihiala,5.86,78.75,89,100,4.99
Saint-Joseph,43.56,95.0,49,0,4.7
Lichinga,-13.3,68.31,45,0,2.89
Lorengau,-2.02,79.83,84,100,8.03
Palmer,-34.85,53.6,87,20,5.82
Raudeberg,61.99,71.6,93,75,10.29
Sobolevo,54.43,67.23,84,97,5.1
Achi,41.84,71.6,94,75,3.36
Buala,-8.15,78.75,85,96,17.29
San Lazaro,18.04,84.2,83,40,5.82
Talcahuano,-36.72,41.0,75,0,2.24
Sao Filipe,14.9,74.97,82,8,21.16
Knysna,-34.04,53.6,58,75,20.8
Whitehorse,60.72,57.2,93,75,10.29
Wanning,48.64,89.01,33,20,3.36
Plettenberg Bay,-34.05,52.11,80,37,13.67
Alice Springs,-23.7,50.0,31,0,5.82
Puerto Baquerizo Moreno,-0.9,69.8,88,75,12.75
Galesong,-5.32,78.75,68,30,25.5
Itarema,-2.92,86.49,53,49,11.5
Fairbanks,64.84,63.0,87,1,1.48
Bartica,6.41,84.2,79,75,4.7
Seybaplaya,19.65,77.0,83,75,6.93
Padang,-0.92,82.35,75,100,3.49
Palmerston,-12.49,69.01,88,0,8.52
Jaleswar,21.8,86.67,67,100,15.7
Klaksvik,62.23,55.4,100,90,9.17
Kajaani,64.22,77.0,33,0,5.82
Matagami,9.67,71.6,83,75,18.34
Broken Hill,-31.97,51.8,62,0,11.41
Cherskiy,68.75,38.25,87,100,5.35
Rio Gallegos,-51.62,33.8,74,0,20.8
Sinnamary,5.38,80.37,77,0,8.61
Kaberamaido,1.76,74.25,80,17,3.94
Sapang Dalaga,8.54,74.07,90,100,3.2
Deputatskiy,69.3,51.57,41,93,12.88
Gwembe,-16.5,69.93,33,31,8.79
Sitka,37.17,70.0,64,0,4.0
Namibe,-15.19,68.0,77,20,10.29
Masasi,-10.73,76.95,34,0,5.41
Biak,-0.91,59.85,96,100,6.53
Kamaishi,39.28,63.09,94,97,2.39
Poum,41.28,84.2,30,40,9.17
Cockburn Town,21.46,89.6,62,40,11.41
Chumikan,54.72,46.35,94,100,3.09
Catuday,16.29,84.69,68,100,0.6
Sechura,-5.56,63.99,87,65,8.34
High Rock,26.63,78.8,88,75,4.7
Kieta,-6.22,78.21,82,72,7.02
Marshall,39.12,73.0,68,1,8.05
Paracuru,-3.41,84.2,58,75,18.34
Aklavik,68.22,59.0,87,75,4.7
Caravelas,-17.73,74.07,80,74,11.52
La Rioja,-29.41,42.93,32,0,6.26
Santa Maria del Oro,25.95,69.93,61,4,11.99
Pavlodar,52.28,71.6,73,75,2.24
Hit,33.64,108.63,8,0,8.99
Payakumbuh,-0.23,67.05,94,100,2.91
Srednekolymsk,67.46,39.51,74,100,10.09
Hambantota,6.12,84.2,74,40,9.17
Gat,14.69,86.0,58,0,8.05
Jega,12.22,90.63,45,92,7.49
Laguna,16.17,80.6,88,90,2.33
Ileza,61.05,56.61,92,98,2.59
Nicoya,10.15,82.4,74,0,5.82
Kaohsiung,22.62,84.2,83,75,5.82
Penzance,50.12,73.99,88,40,10.29
Ulety,51.36,55.89,93,100,3.04
Sept-Iles,50.2,64.0,72,75,10.29
Kochki,54.33,61.29,69,100,2.64
Khadyzhensk,44.42,75.69,83,89,2.82
Bregovo,44.15,85.95,32,5,16.64
Phanom Sarakham,13.75,88.0,94,75,2.24
Te Anau,-45.41,41.85,81,0,0.87
Chuy,-33.69,56.97,79,100,13.53
Mitsamiouli,-11.38,80.6,65,20,14.99
Rancharia,-22.23,77.0,38,0,16.11
Lethem,3.38,87.39,55,1,8.7
Bubaque,11.28,79.83,80,85,10.22
Souillac,45.6,107.01,24,0,8.05
Antofagasta,-23.65,55.4,82,75,16.11
Mahebourg,-20.41,71.6,78,75,16.11
Rocha,-34.48,54.81,72,100,12.93
Te Karaka,-38.47,41.49,98,56,1.79
Dzerzhinskoye,56.84,62.19,72,82,3.15
Chabahar,25.29,87.8,74,40,6.93
Bathsheba,13.22,86.0,70,40,17.22
Sibu,2.29,75.2,100,75,2.8
Nanakuli,21.39,80.6,78,75,10.27
Pevek,69.7,30.33,95,100,11.79
Narsaq,60.91,50.0,81,75,4.7
Basco,40.33,73.99,64,1,6.93
San Quintin,17.54,77.31,90,100,3.02
Necochea,-38.55,48.99,63,0,5.99
High Prairie,55.43,66.33,88,23,5.79
Adrar,27.87,111.2,9,0,18.34
Labuhan,-2.54,72.63,85,86,2.75
Loandjili,-4.77,77.0,78,20,12.75
Petatlan,17.52,80.6,78,90,11.41
Cabo San Lucas,22.89,82.99,74,75,2.91
Svobodnyy,53.85,73.99,51,100,1.99
Saskylakh,71.97,50.67,70,94,6.15
Zyryanka,65.73,39.33,72,52,8.88
Alamosa,37.47,59.0,54,1,3.36
Kindersley,51.47,69.01,68,20,20.8
Lincoln,53.23,90.0,48,40,12.75
Muroran,42.32,62.73,93,100,9.84
Ixtapa,20.71,82.0,88,75,6.93
Kjollefjord,70.95,62.55,65,25,1.68
Kamiichi,36.7,79.0,88,84,4.92
Khasan,42.43,69.57,97,100,2.04
Ostrovnoy,68.05,54.45,55,100,6.69
Tadpatri,14.92,79.47,76,100,10.04
Trairi,-3.28,86.13,51,36,11.88
Shubarkuduk,49.15,79.29,33,0,14.9
Kudahuvadhoo,2.67,83.61,76,37,11.05
Ancud,-41.87,37.4,100,40,1.61
Kedrovyy,56.17,59.0,93,40,2.59
Belyy Yar,53.6,64.4,77,38,4.47
Beloha,-25.17,65.79,43,0,7.43
Trat,12.25,86.0,75,100,2.73
San Andres,13.32,76.23,92,92,1.63
Manokwari,-0.87,72.27,85,95,2.19
Luanda,-8.83,75.2,78,75,6.93
Ponta do Sol,-20.63,69.75,56,83,6.78
Prince Rupert,54.32,60.8,67,90,13.87
Hammerfest,70.66,69.8,64,20,6.93
Severo-Kurilsk,50.68,46.17,91,100,3.6
Ulladulla,-35.36,62.6,39,46,17.22
Manyana,-35.26,62.6,39,91,17.22
Toktogul,41.87,64.99,97,99,6.98
Naze,5.43,77.67,86,100,7.36
Khash,28.22,80.37,18,31,5.03
Terrace,54.52,55.4,100,75,3.36
Monte Gordo,37.18,84.99,74,20,6.93
Yulara,-25.24,55.4,28,0,8.05
Pinar del Rio,22.42,88.65,56,0,2.46
Bath,51.38,91.0,40,0,13.87
Tadine,-21.55,68.67,68,43,16.6
Tiksi,71.64,41.31,83,100,11.65
Leh,34.16,56.43,22,17,4.72
Progreso,-34.68,55.0,76,0,11.41
Narnaul,28.04,97.11,39,37,3.18
Dovolnoye,54.5,62.91,67,100,4.65
Saint-Raymond,46.89,71.01,72,40,8.05
Santander,9.42,73.53,90,100,2.86
Labis,2.38,75.69,89,100,3.24
Guerrero Negro,27.97,68.31,77,33,7.14
Solnechnyy,50.72,51.21,97,100,6.55
Hirara,24.8,83.25,78,100,8.75
Aguie,13.51,90.63,38,34,2.66
Sur,22.57,82.17,70,0,10.85
Leshukonskoye,64.9,70.29,58,66,7.25
Yaring,6.87,84.51,71,71,5.17
Boa Vista,2.82,82.4,69,75,4.7
Bull Savanna,17.89,82.71,69,16,7.47
Bar Harbor,44.39,66.99,93,90,3.18
Krasnaya Gorka,55.19,62.37,94,54,5.64
Exu,-7.52,82.4,51,75,18.34
Belaya Gora,68.54,48.87,48,100,10.67
Akonolinga,3.77,75.87,89,62,2.82
Bemidji,47.48,73.99,60,1,6.93
Sanmenxia,34.77,82.35,49,79,2.68
Bochov,50.15,89.01,28,0,5.82
Talnakh,69.49,60.8,77,0,15.66
Khor,47.88,70.29,95,100,5.21
Jamalpur,24.93,85.59,77,100,5.3
Tual,-5.67,77.13,84,99,16.35
Thinadhoo,0.53,83.97,72,59,11.12
Mangrol,25.33,96.75,43,100,5.41
Vilyuysk,63.75,59.13,43,0,0.65
Altay,47.83,49.95,79,67,2.48
Axim,4.87,77.85,80,12,13.94
Banda Aceh,5.56,84.15,74,100,9.1
Port Hedland,-20.31,66.2,45,91,6.93
Berlevag,70.86,78.8,39,0,5.82
Joshimath,30.57,57.87,97,54,0.27
Shangrao,28.45,79.47,86,0,1.88
General Pico,-35.66,51.39,32,96,1.61
Dunedin,-45.87,51.01,82,11,11.99
Samarai,-10.62,71.91,87,34,9.55
Sorada,19.76,74.97,88,88,2.48
Krasavino,60.96,63.45,74,62,2.95
Ayni,39.39,65.79,34,0,7.25
Moose Factory,51.26,48.2,81,75,3.36
Quatre Cocos,-20.21,71.6,78,75,16.11
Stepnyak,52.83,63.45,84,100,6.31
La Tuque,47.44,68.31,47,0,5.53
Alyangula,-13.85,66.2,88,0,3.36
Tanete,-3.94,77.85,74,0,23.49
Opunake,-39.45,55.53,76,100,5.23
Nikolayevka,46.73,81.99,63,0,2.06
Rock Sound,24.9,83.43,76,62,15.52
Colac,-38.34,45.0,98,47,1.01
Bonavista,48.65,55.99,82,100,1.99
Makakilo City,21.35,80.6,94,75,9.17
Banjarmasin,-3.32,75.33,81,100,11.36
Westport,41.14,69.8,88,75,11.41
Puerto Escondido,15.86,77.0,78,75,4.7
Gao,16.28,100.17,27,56,0.74
Sume,43.62,82.4,39,40,6.93
Vaitape,-16.52,79.47,84,94,14.27
Senno,57.76,77.0,36,40,6.71
Vardo,39.62,72.0,83,75,5.82
Cayenne,4.94,87.8,58,75,5.82
Tres Arroyos,-38.38,51.39,29,0,12.62
Tommot,58.97,47.79,82,0,1.34
Bridlington,54.08,86.0,45,20,11.41
Resistencia,-27.45,55.4,100,90,9.17
Darovskoy,58.77,65.79,74,60,3.02
Oudtshoorn,-33.59,53.6,58,75,20.8
Dingle,11.0,75.51,88,99,3.29
Cascais,38.7,86.0,57,20,23.04
Constitucion,23.99,66.0,87,20,14.0
Ugoofaaru,5.67,83.43,73,100,13.0
Sinegorye,62.09,30.15,77,0,3.96
Le Mars,42.79,70.0,77,1,3.53
Aksu,52.04,71.6,73,75,2.24
Namatanai,-3.66,78.21,85,100,20.04
Rairangpur,22.27,86.85,61,84,4.9
Esmeraldas,-19.76,71.6,49,20,8.05
Champerico,16.38,73.4,88,40,3.4
Moron,18.56,84.15,62,27,2.3
Kaeo,-35.1,48.0,100,20,6.13
Nehe,48.48,65.25,98,100,6.67
Neijiang,29.59,75.33,88,14,1.61
Road Town,18.42,87.8,66,40,14.99
Ericeira,38.96,87.01,57,20,23.04
Pangoa,-12.12,77.49,68,47,2.57
Barcelos,-0.97,81.81,84,0,3.24
Bereda,43.27,91.99,73,40,9.17
Kalabo,-15.0,82.53,13,0,4.36
Nortelandia,-14.45,91.53,28,0,6.38
San Cristobal,14.68,79.65,53,100,2.93
Nyurba,63.29,58.23,51,0,3.24
Mikhaylovka,52.96,62.55,92,100,7.07
Nouadhibou,20.93,80.6,57,0,14.99
Nioro,13.79,99.63,29,32,8.08
Palu,-0.9,73.17,94,58,3.91
Makat,47.65,90.63,19,39,12.19
Atherton,-17.27,69.01,82,90,13.87
Sandwick,54.57,82.0,69,40,6.93
Bakel,14.9,103.41,28,73,10.38
Inuvik,68.36,59.0,82,75,11.41
El Fuerte,26.42,82.35,70,87,3.58
Parabel,58.71,58.95,86,100,3.96
Astoria,46.19,63.0,82,90,4.7
Miquelon,47.1,57.2,93,90,2.24
Diu,20.71,83.79,81,100,12.12
Mporokoso,-9.37,76.77,23,0,1.9
Orlik,53.95,71.01,93,90,4.7
Dongsheng,29.72,82.89,86,96,8.19
Bandar,22.29,82.4,88,75,3.36
Kerema,-7.96,78.21,85,96,19.57
Xining,36.62,47.43,86,91,4.43
Rinteln,52.19,91.0,35,20,3.36
Hailar,49.2,59.67,82,100,11.65
Grand-Lahou,5.24,81.99,66,91,8.3
Robertsport,6.75,74.79,90,100,14.25
Dolores,-33.53,53.01,78,100,11.01
Balasheyka,53.28,71.73,64,0,5.19
Olinda,-37.84,48.99,75,40,5.82
San Policarpo,12.18,80.73,84,100,4.94
Ginda,30.69,65.25,93,32,0.51
Byron Bay,-28.65,55.99,100,0,2.86
Inhambane,-23.87,73.4,56,0,16.11
Richards Bay,-28.77,76.95,55,0,19.84
Margate,-43.03,44.6,92,40,12.75
Kayan,16.91,78.8,100,90,2.24
Grand Gaube,-20.01,71.6,78,75,16.11
Roald,62.58,71.6,87,90,9.17
Ukiah,39.15,68.0,72,1,1.5
La Primavera,-32.92,50.0,39,0,10.29
Rio Grande,-32.03,59.0,100,90,8.25
Katobu,-4.94,71.37,84,26,4.12
Ongandjera,-17.88,82.17,9,0,3.31
Pangai,-19.8,71.19,56,97,8.9
Gorlice,49.66,64.99,85,100,2.57
Waddan,29.16,96.21,12,0,12.06
Touros,-5.2,84.2,58,40,13.87
Meadela,41.71,81.0,94,75,9.17
Klyuchi,52.25,71.01,53,98,3.51
Tsabong,-26.02,77.49,11,0,25.1
Andros Town,24.73,89.01,74,75,11.41
Taywarah,33.35,77.13,16,0,7.72
Jian,25.65,81.81,88,100,4.05
Santa Catalina,-33.79,52.0,85,100,1.01
Muros,42.77,81.0,65,20,8.05
Inirida,3.87,78.93,93,74,3.0
Towada,40.61,71.01,88,20,4.7
Cosamaloapan,18.36,79.0,85,17,5.75
Kolyvan,55.31,64.4,68,40,4.47
Shimanovsk,52.0,52.11,88,90,4.59
Hirado,33.32,80.01,100,94,8.05
Nichinan,31.65,74.43,93,100,3.67
Karoti,41.41,82.35,43,97,7.83
Borovoy,63.23,69.21,67,0,5.57
Maun,-19.99,80.6,21,0,5.82
Selma,32.41,78.01,94,99,4.7
Kotelnich,58.31,66.51,80,43,4.23
Pasinler,39.98,86.0,30,20,13.87
Boende,-0.28,89.01,44,70,2.55
Crossville,35.95,72.0,88,40,9.17
Bayangol,48.91,58.77,98,100,3.04
Vostochnyy,55.82,68.0,77,75,11.18
Menongue,-14.66,84.51,9,0,3.76
Santiago del Estero,-27.8,51.75,40,100,13.27
Zhanaozen,43.35,96.57,21,32,16.46
San Nicolas,16.07,78.75,87,100,5.03
Olga,34.11,77.0,73,20,5.7
Khorramshahr,30.43,114.8,11,0,19.46
Jurmala,56.97,71.01,73,20,9.17
Santa Rosa,-36.62,51.21,27,0,2.64
Zaozerne,51.37,72.81,51,0,10.07
Ust-Koksa,50.27,47.61,91,62,5.53
Sambava,-14.27,64.53,72,83,2.82
Chihuahua,28.66,77.0,49,75,5.82
Aktau,43.65,95.0,24,20,15.66
Cururupu,-1.82,83.61,71,34,4.54
Grindavik,63.84,57.2,76,75,9.17
